Run Objective I0 n Rs Rsh Offset
0 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
1 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
2 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
3 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
4 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
5 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
6 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
7 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
8 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
9 8.057e-02 1.543e-06 1.293e+00 2.920e+01 4.981e+04 1.718e-03
