Run Objective I0 n Rs Rsh Offset
0 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
1 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
2 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
3 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
4 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
5 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
6 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
7 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
8 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
9 8.013e-02 1.589e-06 1.297e+00 2.958e+01 4.973e+04 1.867e-03
