Run Objective I0 n Rs Rsh Offset
0 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
1 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
2 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
3 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
4 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
5 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
6 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
7 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
8 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
9 6.955e-02 4.663e-06 1.460e+00 4.377e+01 4.917e+04 2.456e-03
