Run Objective I0 n Rs Rsh Offset
0 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
1 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
2 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
3 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
4 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
5 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
6 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
7 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
8 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
9 8.399e-02 9.189e-07 1.249e+00 2.417e+01 5.045e+04 8.598e-04
