Run Objective I0 n Rs Rsh Offset
0 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
1 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
2 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
3 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
4 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
5 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
6 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
7 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
8 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
9 7.834e-02 1.753e-06 1.323e+00 3.267e+01 4.985e+04 1.732e-03
