Run Objective I0 n Rs Rsh Offset
0 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
1 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
2 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
3 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
4 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
5 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
6 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
7 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
8 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
9 7.368e-02 3.170e-06 1.382e+00 3.510e+01 4.933e+04 2.540e-03
