Run Objective I0 n Rs Rsh Offset
0 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
1 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
2 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
3 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
4 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
5 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
6 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
7 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
8 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
9 7.842e-02 1.793e-06 1.323e+00 3.285e+01 4.975e+04 1.837e-03
