Run Objective I0 n Rs Rsh Offset
0 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
1 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
2 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
3 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
4 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
5 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
6 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
7 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
8 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
9 7.167e-02 4.004e-06 1.456e+00 4.280e+01 4.946e+04 2.251e-03
