Run Objective I0 n Rs Rsh Offset
0 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
1 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
2 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
3 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
4 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
5 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
6 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
7 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
8 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
9 8.375e-02 9.099e-07 1.253e+00 2.632e+01 5.058e+04 8.581e-04
