Run Objective I0 n Rs Rsh Offset
0 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
1 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
2 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
3 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
4 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
5 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
6 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
7 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
8 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
9 6.716e-02 5.350e-06 1.463e+00 4.452e+01 4.887e+04 2.688e-03
