Run Objective I0 n Rs Rsh Offset
0 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
1 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
2 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
3 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
4 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
5 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
6 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
7 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
8 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
9 6.878e-02 4.893e-06 1.461e+00 4.407e+01 4.903e+04 2.548e-03
