Run Objective I0 n Rs Rsh Offset
0 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
1 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
2 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
3 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
4 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
5 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
6 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
7 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
8 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
9 6.835e-02 5.013e-06 1.463e+00 4.416e+01 4.899e+04 2.531e-03
