Run Objective I0 n Rs Rsh Offset
0 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
1 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
2 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
3 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
4 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
5 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
6 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
7 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
8 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
9 7.402e-02 3.678e-06 1.432e+00 4.055e+01 4.936e+04 2.361e-03
