Run Objective I0 n Rs Rsh Offset
0 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
1 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
2 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
3 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
4 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
5 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
6 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
7 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
8 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
9 9.789e-02 2.688e-09 1.439e+00 1.771e+01 5.884e+05 1.840e-04
