Run Objective I0 n Rs Rsh Offset
0 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
1 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
2 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
3 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
4 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
5 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
6 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
7 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
8 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
9 8.489e-02 1.921e-07 1.251e+00 2.043e+01 8.156e+04 5.405e-04
