Run Objective I0 n Rs Rsh Offset
0 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
1 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
2 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
3 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
4 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
5 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
6 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
7 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
8 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
9 6.893e-02 4.475e-06 1.446e+00 4.490e+01 4.893e+04 2.377e-03
