Run Objective I0 n Rs Rsh Offset
0 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
1 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
2 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
3 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
4 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
5 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
6 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
7 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
8 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
9 6.707e-02 5.268e-06 1.465e+00 4.436e+01 4.884e+04 2.626e-03
