Run Objective I0 n Rs Rsh Offset
0 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
1 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
2 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
3 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
4 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
5 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
6 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
7 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
8 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
9 8.430e-02 9.135e-07 1.251e+00 2.527e+01 5.051e+04 9.720e-04
