Run Objective I0 n Rs Rsh Offset
0 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
1 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
2 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
3 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
4 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
5 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
6 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
7 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
8 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
9 6.751e-02 5.121e-06 1.457e+00 4.477e+01 4.880e+04 2.558e-03
