Run Objective I0 n Rs Rsh Offset
0 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
1 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
2 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
3 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
4 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
5 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
6 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
7 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
8 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
9 7.830e-02 1.862e-06 1.326e+00 3.300e+01 4.972e+04 1.906e-03
