Run Objective I0 n Rs Rsh Offset
0 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
1 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
2 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
3 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
4 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
5 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
6 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
7 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
8 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
9 7.048e-02 4.176e-06 1.455e+00 4.322e+01 4.927e+04 2.348e-03
