Run Objective I0 n Rs Rsh Offset
0 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
1 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
2 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
3 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
4 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
5 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
6 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
7 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
8 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
9 7.883e-02 1.594e-06 1.318e+00 3.505e+01 4.997e+04 1.272e-03
