Run Objective I0 n Rs Rsh Offset
0 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
1 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
2 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
3 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
4 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
5 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
6 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
7 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
8 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
9 7.870e-02 1.909e-06 1.328e+00 3.307e+01 4.969e+04 1.875e-03
