Run Objective I0 n Rs Rsh Offset
0 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
1 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
2 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
3 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
4 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
5 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
6 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
7 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
8 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
9 7.441e-02 2.892e-06 1.376e+00 3.507e+01 4.953e+04 2.377e-03
