Run Objective I0 n Rs Rsh Offset
0 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
1 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
2 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
3 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
4 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
5 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
6 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
7 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
8 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
9 7.821e-02 1.631e-06 1.312e+00 3.347e+01 4.982e+04 1.449e-03
