Run Objective I0 n Rs Rsh Offset
0 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
1 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
2 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
3 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
4 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
5 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
6 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
7 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
8 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
9 8.356e-02 9.125e-07 1.253e+00 2.584e+01 5.058e+04 8.504e-04
