Run Objective I0 n Rs Rsh Offset
0 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
1 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
2 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
3 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
4 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
5 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
6 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
7 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
8 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
9 8.509e-02 9.665e-07 1.242e+00 2.271e+01 5.029e+04 1.031e-03
