Run Objective I0 n Rs Rsh Offset
0 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
1 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
2 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
3 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
4 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
5 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
6 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
7 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
8 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
9 7.462e-02 3.718e-06 1.489e+00 5.436e+01 4.955e+04 1.655e-03
