Run Objective I0 n Rs Rsh Offset
0 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
1 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
2 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
3 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
4 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
5 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
6 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
7 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
8 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
9 8.053e-02 1.433e-06 1.288e+00 2.900e+01 4.998e+04 1.709e-03
