Run Objective I0 n Rs Rsh Offset
0 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
1 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
2 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
3 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
4 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
5 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
6 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
7 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
8 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
9 7.838e-02 1.870e-06 1.326e+00 3.313e+01 4.962e+04 1.645e-03
