Run Objective I0 n Rs Rsh Offset
0 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
1 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
2 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
3 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
4 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
5 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
6 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
7 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
8 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
9 9.349e-02 1.069e-06 1.262e+00 1.766e+01 4.693e+04 1.611e-03
