Run Objective I0 n Rs Rsh Offset
0 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
1 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
2 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
3 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
4 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
5 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
6 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
7 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
8 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
9 8.129e-02 3.237e-06 1.356e+00 2.078e+01 3.213e+04 2.208e-03
