Run Objective I0 n Rs Rsh Offset
0 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
1 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
2 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
3 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
4 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
5 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
6 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
7 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
8 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
9 9.319e-02 1.259e-07 1.395e+00 1.753e+01 1.297e+05 -1.135e-03
